nodename	idrac-ip	idrac-vlan	idrac-interface	idrac-mac	idrac-switch	idrac-switchport	management-ip	management-vlan	management-interface	management-mac	management-switch	management-switchport	storagetrunk-interface	storagetrunk-ip	storage-vlan	storagetrunk-switch	storagetrunk-switchport	clustertrunk-interface	clustertrunk-switch	clustertrunk-switchport
hb-node098	172.23.4.098	1070	lom1	EC:2A:72:11:8D:30	hb-sw-mgmt01-h04	1/7	172.23.0.098	1069	lom1		hb-sw-mgmt01-h04	1/7	P1	172.23.12.098	1073	hb-sw-leaf01-h04	Ethernet 1/1/7	P2	hb-sw-leaf02-h04	Ethernet 1/1/7
hb-node099	172.23.4.099	1070	lom1	EC:2A:72:11:8D:36	hb-sw-mgmt01-h04	1/6	172.23.0.099	1069	lom1		hb-sw-mgmt01-h04	1/6	P1	172.23.12.099	1073	hb-sw-leaf01-h04	Ethernet 1/1/6	P2	hb-sw-leaf02-h04	Ethernet 1/1/6
hb-hypervisor100	172.23.4.100	1070	lom1	EC:2A:72:11:87:8A	hb-sw-mgmt01-h04	1/5	172.23.0.100	1069	lom1		hb-sw-mgmt01-h04	1/5	P1	172.23.12.100	1073	hb-sw-leaf01-h04	Ethernet 1/1/5	P2	hb-sw-leaf02-h04	Ethernet 1/1/5
hb-node101	172.23.4.101	1070	lom1	EC:2A:72:11:90:12	hb-sw-mgmt01-h04	1/4	172.23.0.101	1069	lom1		hb-sw-mgmt01-h04	1/4	P1	172.23.12.101	1073	hb-sw-leaf01-h04	Ethernet 1/1/4	P2	hb-sw-leaf02-h04	Ethernet 1/1/4
hb-node102	172.23.4.102	1070	lom1	EC:2A:72:11:8A:18	hb-sw-mgmt01-h04	1/3	172.23.0.102	1069	lom1		hb-sw-mgmt01-h04	1/3	P1	172.23.12.102	1073	hb-sw-leaf01-h04	Ethernet 1/1/3	P2	hb-sw-leaf02-h04	Ethernet 1/1/3
hb-node103	172.23.4.103	1070	lom1	EC:2A:72:11:86:D6	hb-sw-mgmt01-h04	1/2	172.23.0.103	1069	lom1		hb-sw-mgmt01-h04	1/2	P1	172.23.12.103	1073	hb-sw-leaf01-h04	Ethernet 1/1/2	P2	hb-sw-leaf02-h04	Ethernet 1/1/2
hb-node104	172.23.4.104	1070	lom1	EC:2A:72:11:8D:90	hb-sw-mgmt01-h04	1/1	172.23.0.104	1069	lom1		hb-sw-mgmt01-h04	1/1	P1	172.23.12.104	1073	hb-sw-leaf01-h04	Ethernet 1/1/1	P2	hb-sw-leaf02-h04	Ethernet 1/1/1
hb-node105	172.23.4.105	1070	lom1	EC:2A:72:11:96:54	hb-sw-mgmt01-h05	1/26	172.23.0.105	1069	lom1		hb-sw-mgmt01-h05	1/26	P1	172.23.12.105	1073	hb-sw-leaf01-h05	Ethernet 1/1/26	P2	hb-sw-leaf02-h05	Ethernet 1/1/26
hb-node106	172.23.4.106	1070	lom1	EC:2A:72:11:94:98	hb-sw-mgmt01-h05	1/25	172.23.0.106	1069	lom1		hb-sw-mgmt01-h05	1/25	P1	172.23.12.106	1073	hb-sw-leaf01-h05	Ethernet 1/1/25	P2	hb-sw-leaf02-h05	Ethernet 1/1/25
hb-node107	172.23.4.107	1070	lom1	EC:2A:72:11:94:C8	hb-sw-mgmt01-h05	1/24	172.23.0.107	1069	lom1		hb-sw-mgmt01-h05	1/24	P1	172.23.12.107	1073	hb-sw-leaf01-h05	Ethernet 1/1/24	P2	hb-sw-leaf02-h05	Ethernet 1/1/24
hb-node108	172.23.4.108	1070	lom1	EC:2A:72:11:96:18	hb-sw-mgmt01-h05	1/23	172.23.0.108	1069	lom1		hb-sw-mgmt01-h05	1/23	P1	172.23.12.108	1073	hb-sw-leaf01-h05	Ethernet 1/1/23	P2	hb-sw-leaf02-h05	Ethernet 1/1/23
hb-node109	172.23.4.109	1070	lom1	EC:2A:72:11:82:2C	hb-sw-mgmt01-h05	1/22	172.23.0.109	1069	lom1		hb-sw-mgmt01-h05	1/22	P1	172.23.12.109	1073	hb-sw-leaf01-h05	Ethernet 1/1/22	P2	hb-sw-leaf02-h05	Ethernet 1/1/22
hb-node110	172.23.4.110	1070	lom1	EC:2A:72:11:8D:C6	hb-sw-mgmt01-h05	1/21	172.23.0.110	1069	lom1		hb-sw-mgmt01-h05	1/21	P1	172.23.12.110	1073	hb-sw-leaf01-h05	Ethernet 1/1/21	P2	hb-sw-leaf02-h05	Ethernet 1/1/21
hb-node111	172.23.4.111	1070	lom1	EC:2A:72:11:91:7A	hb-sw-mgmt01-h05	1/20	172.23.0.111	1069	lom1		hb-sw-mgmt01-h05	1/20	P1	172.23.12.111	1073	hb-sw-leaf01-h05	Ethernet 1/1/20	P2	hb-sw-leaf02-h05	Ethernet 1/1/20
hb-node112	172.23.4.112	1070	lom1	EC:2A:72:11:95:FA	hb-sw-mgmt01-h05	1/19	172.23.0.112	1069	lom1		hb-sw-mgmt01-h05	1/19	P1	172.23.12.112	1073	hb-sw-leaf01-h05	Ethernet 1/1/19	P2	hb-sw-leaf02-h05	Ethernet 1/1/19
hb-node113	172.23.4.113	1070	lom1	EC:2A:72:11:94:E6	hb-sw-mgmt01-h05	1/18	172.23.0.113	1069	lom1		hb-sw-mgmt01-h05	1/18	P1	172.23.12.113	1073	hb-sw-leaf01-h05	Ethernet 1/1/18	P2	hb-sw-leaf02-h05	Ethernet 1/1/18
hb-node114	172.23.4.114	1070	lom1	EC:2A:72:11:80:A6	hb-sw-mgmt01-h05	1/17	172.23.0.114	1069	lom1		hb-sw-mgmt01-h05	1/17	P1	172.23.12.114	1073	hb-sw-leaf01-h05	Ethernet 1/1/17	P2	hb-sw-leaf02-h05	Ethernet 1/1/17
hb-node115	172.23.4.115	1070	lom1	EC:2A:72:11:98:B8	hb-sw-mgmt01-h05	1/16	172.23.0.115	1069	lom1		hb-sw-mgmt01-h05	1/16	P1	172.23.12.115	1073	hb-sw-leaf01-h05	Ethernet 1/1/16	P2	hb-sw-leaf02-h05	Ethernet 1/1/16
hb-node116	172.23.4.116	1070	lom1	EC:2A:72:11:8C:4C	hb-sw-mgmt01-h05	1/15	172.23.0.116	1069	lom1		hb-sw-mgmt01-h05	1/15	P1	172.23.12.116	1073	hb-sw-leaf01-h05	Ethernet 1/1/15	P2	hb-sw-leaf02-h05	Ethernet 1/1/15
hb-node117	172.23.4.117	1070	lom1	EC:2A:72:11:7F:68	hb-sw-mgmt01-h05	1/14	172.23.0.117	1069	lom1		hb-sw-mgmt01-h05	1/14	P1	172.23.12.117	1073	hb-sw-leaf01-h05	Ethernet 1/1/14	P2	hb-sw-leaf02-h05	Ethernet 1/1/14
hb-node118	172.23.4.118	1070	lom1	EC:2A:72:11:8B:20	hb-sw-mgmt01-h05	1/13	172.23.0.118	1069	lom1		hb-sw-mgmt01-h05	1/13	P1	172.23.12.118	1073	hb-sw-leaf01-h05	Ethernet 1/1/13	P2	hb-sw-leaf02-h05	Ethernet 1/1/13
hb-node119	172.23.4.119	1070	lom1	EC:2A:72:11:97:92	hb-sw-mgmt01-h05	1/12	172.23.0.119	1069	lom1		hb-sw-mgmt01-h05	1/12	P1	172.23.12.119	1073	hb-sw-leaf01-h05	Ethernet 1/1/12	P2	hb-sw-leaf02-h05	Ethernet 1/1/12
hb-node120	172.23.4.120	1070	lom1	EC:2A:72:11:95:A6	hb-sw-mgmt01-h05	1/11	172.23.0.120	1069	lom1		hb-sw-mgmt01-h05	1/11	P1	172.23.12.120	1073	hb-sw-leaf01-h05	Ethernet 1/1/11	P2	hb-sw-leaf02-h05	Ethernet 1/1/11
hb-node121	172.23.4.121	1070	lom1	EC:2A:72:11:8A:D8	hb-sw-mgmt01-h05	1/10	172.23.0.121	1069	lom1		hb-sw-mgmt01-h05	1/10	P1	172.23.12.121	1073	hb-sw-leaf01-h05	Ethernet 1/1/10	P2	hb-sw-leaf02-h05	Ethernet 1/1/10
hb-node122	172.23.4.122	1070	lom1	EC:2A:72:11:95:D6	hb-sw-mgmt01-h05	1/9	172.23.0.122	1069	lom1		hb-sw-mgmt01-h05	1/9	P1	172.23.12.122	1073	hb-sw-leaf01-h05	Ethernet 1/1/9	P2	hb-sw-leaf02-h05	Ethernet 1/1/9
hb-node123	172.23.4.123	1070	lom1	EC:2A:72:11:8B:FE	hb-sw-mgmt01-h05	1/8	172.23.0.123	1069	lom1		hb-sw-mgmt01-h05	1/8	P1	172.23.12.123	1073	hb-sw-leaf01-h05	Ethernet 1/1/8	P2	hb-sw-leaf02-h05	Ethernet 1/1/8
hb-node124	172.23.4.124	1070	lom1	EC:2A:72:11:83:B2	hb-sw-mgmt01-h05	1/7	172.23.0.124	1069	lom1		hb-sw-mgmt01-h05	1/7	P1	172.23.12.124	1073	hb-sw-leaf01-h05	Ethernet 1/1/7	P2	hb-sw-leaf02-h05	Ethernet 1/1/7
hb-node125	172.23.4.125	1070	lom1	EC:2A:72:11:99:4E	hb-sw-mgmt01-h05	1/6	172.23.0.125	1069	lom1		hb-sw-mgmt01-h05	1/6	P1	172.23.12.125	1073	hb-sw-leaf01-h05	Ethernet 1/1/6	P2	hb-sw-leaf02-h05	Ethernet 1/1/6
hb-node126	172.23.4.126	1070	lom1	EC:2A:72:11:89:52	hb-sw-mgmt01-h05	1/5	172.23.0.126	1069	lom1		hb-sw-mgmt01-h05	1/5	P1	172.23.12.126	1073	hb-sw-leaf01-h05	Ethernet 1/1/5	P2	hb-sw-leaf02-h05	Ethernet 1/1/5
hb-node127	172.23.4.127	1070	lom1	EC:2A:72:11:97:A4	hb-sw-mgmt01-h05	1/4	172.23.0.127	1069	lom1		hb-sw-mgmt01-h05	1/4	P1	172.23.12.127	1073	hb-sw-leaf01-h05	Ethernet 1/1/4	P2	hb-sw-leaf02-h05	Ethernet 1/1/4
hb-node128	172.23.4.128	1070	lom1	EC:2A:72:11:8F:EE	hb-sw-mgmt01-h05	1/3	172.23.0.128	1069	lom1		hb-sw-mgmt01-h05	1/3	P1	172.23.12.128	1073	hb-sw-leaf01-h05	Ethernet 1/1/3	P2	hb-sw-leaf02-h05	Ethernet 1/1/3
hb-node129	172.23.4.129	1070	lom1	EC:2A:72:11:7F:2C	hb-sw-mgmt01-h05	1/2	172.23.0.129	1069	lom1		hb-sw-mgmt01-h05	1/2	P1	172.23.12.129	1073	hb-sw-leaf01-h05	Ethernet 1/1/2	P2	hb-sw-leaf02-h05	Ethernet 1/1/2
hb-node130	172.23.4.130	1070	lom1	EC:2A:72:11:95:52	hb-sw-mgmt01-h05	1/1	172.23.0.130	1069	lom1		hb-sw-mgmt01-h05	1/1	P1	172.23.12.130	1073	hb-sw-leaf01-h05	Ethernet 1/1/1	P2	hb-sw-leaf02-h05	Ethernet 1/1/1
hb-node131	172.23.4.131	1070	lom1	EC:2A:72:11:97:9E	hb-sw-mgmt01-h06	1/19	172.23.0.131	1069	lom1		hb-sw-mgmt01-h06	1/19	P1	172.23.12.131	1073	hb-sw-leaf01-h07	ethernet 1/1/3:1	P2	hb-sw-leaf02-h07	ethernet 1/1/3:1
hb-node132	172.23.4.132	1070	lom1	EC:2A:72:11:80:4C	hb-sw-mgmt01-h06	1/18	172.23.0.132	1069	lom1		hb-sw-mgmt01-h06	1/18	P1	172.23.12.132	1073	hb-sw-leaf01-h07	ethernet 1/1/3:2	P2	hb-sw-leaf02-h07	ethernet 1/1/3:2
hb-node133	172.23.4.133	1070	lom1	EC:2A:72:11:98:A6	hb-sw-mgmt01-h06	1/17	172.23.0.133	1069	lom1		hb-sw-mgmt01-h06	1/17	P1	172.23.12.133	1073	hb-sw-leaf01-h07	ethernet 1/1/3:3	P2	hb-sw-leaf02-h07	ethernet 1/1/3:3
hb-node134	172.23.4.134	1070	lom1	EC:2A:72:11:8E:6E	hb-sw-mgmt01-h06	1/16	172.23.0.134	1069	lom1		hb-sw-mgmt01-h06	1/16	P1	172.23.12.134	1073	hb-sw-leaf01-h07	ethernet 1/1/3:4	P2	hb-sw-leaf02-h07	ethernet 1/1/3:4
hb-node135	172.23.4.135	1070	lom1	EC:2A:72:11:8D:3C	hb-sw-mgmt01-h06	1/15	172.23.0.135	1069	lom1		hb-sw-mgmt01-h06	1/15	P1	172.23.12.135	1073	hb-sw-leaf01-h07	ethernet 1/1/2:1	P2	hb-sw-leaf02-h07	ethernet 1/1/2:1
hb-node136	172.23.4.136	1070	lom1	EC:2A:72:11:7F:26	hb-sw-mgmt01-h06	1/14	172.23.0.136	1069	lom1		hb-sw-mgmt01-h06	1/14	P1	172.23.12.136	1073	hb-sw-leaf01-h07	ethernet 1/1/2:2	P2	hb-sw-leaf02-h07	ethernet 1/1/2:2
hb-node137	172.23.4.137	1070	lom1	EC:2A:72:11:8D:C0	hb-sw-mgmt01-h06	1/13	172.23.0.137	1069	lom1		hb-sw-mgmt01-h06	1/13	P1	172.23.12.137	1073	hb-sw-leaf01-h07	ethernet 1/1/2:3	P2	hb-sw-leaf02-h07	ethernet 1/1/2:3
hb-node138	172.23.4.138	1070	lom1	EC:2A:72:11:80:52	hb-sw-mgmt01-h06	1/12	172.23.0.138	1069	lom1		hb-sw-mgmt01-h06	1/12	P1	172.23.12.138	1073	hb-sw-leaf01-h07	ethernet 1/1/2:4	P2	hb-sw-leaf02-h07	ethernet 1/1/2:4
hb-node139	172.23.4.139	1070	lom1	EC:2A:72:11:8F:8E	hb-sw-mgmt01-h06	1/11	172.23.0.139	1069	lom1		hb-sw-mgmt01-h06	1/11	P1	172.23.12.139	1073	hb-sw-leaf01-h07	ethernet 1/1/1:1	P2	hb-sw-leaf02-h07	ethernet 1/1/1:1
hb-node140	172.23.4.140	1070	lom1	EC:2A:72:11:8D:60	hb-sw-mgmt01-h06	1/10	172.23.0.140	1069	lom1		hb-sw-mgmt01-h06	1/10	P1	172.23.12.140	1073	hb-sw-leaf01-h07	ethernet 1/1/1:2	P2	hb-sw-leaf02-h07	ethernet 1/1/1:2
hb-node141	172.23.4.141	1070	lom1	EC:2A:72:11:80:2E	hb-sw-mgmt01-h06	1/9	172.23.0.141	1069	lom1		hb-sw-mgmt01-h06	1/9	P1	172.23.12.141	1073	hb-sw-leaf01-h07	ethernet 1/1/1:3	P2	hb-sw-leaf02-h07	ethernet 1/1/1:3
hb-node142	172.23.4.142	1070	lom1	EC:2A:72:11:7E:EA	hb-sw-mgmt01-h06	1/8	172.23.0.142	1069	lom1		hb-sw-mgmt01-h06	1/8	P1	172.23.12.142	1073	hb-sw-leaf01-h07	ethernet 1/1/1:4	P2	hb-sw-leaf02-h07	ethernet 1/1/1:4
hb-node143	172.23.4.143	1070	lom1	EC:2A:72:11:85:3E	hb-sw-mgmt01-h06	1/7	172.23.0.143	1069	lom1		hb-sw-mgmt01-h06	1/7	P1	172.23.12.143	1073	hb-sw-leaf01-h05	Ethernet 1/1/33	P2	hb-sw-leaf02-h05	Ethernet 1/1/33
hb-node144	172.23.4.144	1070	lom1	EC:2A:72:43:5F:56	hb-sw-mgmt01-h01	1/30	172.23.0.144	1069	lom1		hb-sw-mgmt01-h01	1/30	P1	172.23.12.144	1073	hb-sw-leaf01-h01	Ethernet 1/1/40	P2	hb-sw-leaf02-h01	Ethernet 1/1/40
hb-node145	172.23.4.145	1070	lom1	EC:2A:72:43:5B:A2	hb-sw-mgmt01-h02	1/27	172.23.0.145	1069	lom1		hb-sw-mgmt01-h02	1/27	P1	172.23.12.145	1073	hb-sw-leaf01-h01	Ethernet 1/1/41	P2	hb-sw-leaf02-h01	Ethernet 1/1/41
hb-hypervisor403	172.23.4.146	1070	lom1	EC:2A:72:43:5B:3C	hb-sw-mgmt01-h03	1/27	172.23.0.146	1069	lom1		hb-sw-mgmt01-h03	1/27	P1	172.23.12.146	1073	hb-sw-leaf01-h03	Ethernet 1/1/40	P2	hb-sw-leaf02-h03	Ethernet 1/1/40
hb-node147	172.23.4.147	1070	lom1	EC:2A:72:43:5D:94	hb-sw-mgmt01-h04	1/27	172.23.0.147	1069	lom1		hb-sw-mgmt01-h04	1/27	P1	172.23.12.147	1073	hb-sw-leaf01-h04	Ethernet 1/1/27	P2	hb-sw-leaf02-h04	Ethernet 1/1/27
hb-node148	172.23.4.148	1070	lom1	EC:2A:72:43:5C:0E	hb-sw-mgmt01-h05	1/33	172.23.0.148	1069	lom1		hb-sw-mgmt01-h05	1/33	P1	172.23.12.148	1073	hb-sw-leaf01-h05	Ethernet 1/1/42	P2	hb-sw-leaf02-h05	Ethernet 1/1/42
hb-oss01					hb-sw-mgmt01-h08	1/10					hb-sw-mgmt01-h08	1/10	P1			hb-sw-leaf01-h07	Ethernet 1/1/25	P2	hb-sw-leaf02-h07	Ethernet 1/1/25
hb-oss02					hb-sw-mgmt01-h08	1/9					hb-sw-mgmt01-h08	1/9	P1			hb-sw-leaf01-h07	Ethernet 1/1/26	P2	hb-sw-leaf02-h07	Ethernet 1/1/26
hb-oss03					hb-sw-mgmt01-h08	1/4					hb-sw-mgmt01-h08	1/4	P1			hb-sw-leaf01-h07	Ethernet 1/1/27	P2	hb-sw-leaf02-h07	Ethernet 1/1/27
hb-oss04					hb-sw-mgmt01-h08	1/3					hb-sw-mgmt01-h08	1/3	P1			hb-sw-leaf01-h07	Ethernet 1/1/28	P2	hb-sw-leaf02-h07	Ethernet 1/1/28
hb-proxmox01	172.23.11.229	1075	idrac		hb-sw-mgmt01-h07	1/12	172.23.9.229	1074	lom1		hb-sw-mgmt01-h07	1/12	P1			hb-sw-leaf01-h07	ethernet 1/1/6:1	P2	hb-sw-leaf02-h07	ethernet 1/1/6:1
hb-proxmox02	172.23.11.230	1075	idrac		hb-sw-mgmt01-h07	1/11	172.23.9.230	1074	lom1		hb-sw-mgmt01-h07	1/11	P1			hb-sw-leaf01-h07	ethernet 1/1/6:2	P2	hb-sw-leaf02-h07	ethernet 1/1/6:2
hb-robinhood01				08:92:04:9C:C4:DE	hb-sw-mgmt01-h08	1/17					hb-sw-mgmt01-h08	1/17	P1			hb-sw-leaf01-h05	Ethernet 1/1/37	P2	hb-sw-leaf02-h05	Ethernet 1/1/37
hb-openstack-controller01	172.23.11.101	1075	idrac	90:8d:6e:ff:0b:98	hb-sw-mgmt01-h05	1/30	172.23.9.101	1074	lom1		hb-sw-mgmt01-h05	1/27				hb-sw-leaf01-h05	ethernet 1/1/39		hb-sw-leaf02-h05	ethernet 1/1/39
hb-openstack-controller02	172.23.11.102	1075	idrac	b4:45:06:e6:6b:dd	hb-sw-mgmt01-h05	1/31	172.23.9.102	1074	lom1		hb-sw-mgmt01-h05	1/28				hb-sw-leaf01-h05	ethernet 1/1/40		hb-sw-leaf02-h05	ethernet 1/1/40
hb-openstack-controller03	172.23.11.103	1075	idrac	b4:45:06:e6:69:37	hb-sw-mgmt01-h05	1/32	172.23.9.103	1074	lom1		hb-sw-mgmt01-h05	1/29				hb-sw-leaf01-h05	ethernet 1/1/41		hb-sw-leaf02-h05	ethernet 1/1/41
